,HomePriceIndex,ConsumerPriceIndex,GDP,MedianHouseholdIncome,S&P500,DowJones,HomePriceIndex_Lag1,S&P500_Lag1,DowJones_Lag1,HomePriceIndex_Lag2,S&P500_Lag2,DowJones_Lag2,HomePriceIndex_Lag3,S&P500_Lag3,DowJones_Lag3,HomePriceIndex_RollMean3,CPI_MedianIncome,GDP_HousingStarts,SP500_MortgageRate,DowJones_MortgageRate
2009-01-29,151.506,211.933,14430.902,49780.0,845.1400146484375,8149.009765625,151.506,874.0900268554688,8375.4501953125,151.506,845.7100219726562,8174.72998046875,151.506,836.5700073242188,8116.02978515625,151.506,10550024.74,7071141.98,4310.214074707031,41559.949804687494
2009-01-30,151.506,211.933,14430.902,49780.0,825.8800048828125,8000.85986328125,151.506,845.1400146484375,8149.009765625,151.506,874.0900268554688,8375.4501953125,151.506,845.7100219726562,8174.72998046875,151.506,10550024.74,7071141.98,4211.988024902344,40804.38530273437
2009-02-01,150.014,212.705,14430.902,49780.0,825.8800048828125,8000.85986328125,151.506,825.8800048828125,8000.85986328125,151.506,845.1400146484375,8149.009765625,151.506,874.0900268554688,8375.4501953125,151.00866666666667,10588454.9,8398784.964,4211.988024902344,40804.38530273437
2009-02-02,150.014,212.705,14430.902,49780.0,825.4400024414062,7936.75,150.014,825.8800048828125,8000.85986328125,151.506,825.8800048828125,8000.85986328125,151.506,845.1400146484375,8149.009765625,150.51133333333334,10588454.9,8398784.964,4209.744012451171,40477.424999999996
2009-02-03,150.014,212.705,14430.902,49780.0,838.510009765625,8078.35986328125,150.014,825.4400024414062,7936.75,150.014,825.8800048828125,8000.85986328125,151.506,825.8800048828125,8000.85986328125,150.014,10588454.9,8398784.964,4276.401049804687,41199.63530273437
2009-02-04,150.014,212.705,14430.902,49780.0,832.22998046875,7956.66015625,150.014,838.510009765625,8078.35986328125,150.014,825.4400024414062,7936.75,150.014,825.8800048828125,8000.85986328125,150.014,10588454.9,8398784.964,4244.372900390625,40578.966796875
2009-02-05,150.014,212.705,14430.902,49780.0,845.8499755859375,8063.06982421875,150.014,832.22998046875,7956.66015625,150.014,838.510009765625,8078.35986328125,150.014,825.4400024414062,7936.75,150.014,10588454.9,8398784.964,4440.712371826172,42331.11657714844
2009-02-06,150.014,212.705,14430.902,49780.0,868.5999755859375,8280.58984375,150.014,845.8499755859375,8063.06982421875,150.014,832.22998046875,7956.66015625,150.014,838.510009765625,8078.35986328125,150.014,10588454.9,8398784.964,4560.149871826172,43473.0966796875
2009-02-09,150.014,212.705,14430.902,49780.0,869.8900146484375,8270.8701171875,150.014,868.5999755859375,8280.58984375,150.014,845.8499755859375,8063.06982421875,150.014,832.22998046875,7956.66015625,150.014,10588454.9,8398784.964,4566.922576904297,43422.068115234375
2009-02-10,150.014,212.705,14430.902,49780.0,827.1599731445312,7888.8798828125,150.014,869.8900146484375,8270.8701171875,150.014,868.5999755859375,8280.58984375,150.014,845.8499755859375,8063.06982421875,150.014,10588454.9,8398784.964,4342.589859008789,41416.619384765625
2009-02-11,150.014,212.705,14430.902,49780.0,833.739990234375,7939.52978515625,150.014,827.1599731445312,7888.8798828125,150.014,869.8900146484375,8270.8701171875,150.014,868.5999755859375,8280.58984375,150.014,10588454.9,8398784.964,4377.134948730469,41682.53137207031
2009-02-12,150.014,212.705,14430.902,49780.0,835.1900024414062,7932.759765625,150.014,833.739990234375,7939.52978515625,150.014,827.1599731445312,7888.8798828125,150.014,869.8900146484375,8270.8701171875,150.014,10588454.9,8398784.964,4309.5804125976565,40933.040390625
2009-02-13,150.014,212.705,14430.902,49780.0,826.8400268554688,7850.41015625,150.014,835.1900024414062,7932.759765625,150.014,833.739990234375,7939.52978515625,150.014,827.1599731445312,7888.8798828125,150.014,10588454.9,8398784.964,4266.4945385742185,40508.11640625
2009-02-17,150.014,212.705,14430.902,49780.0,789.1699829101562,7552.60009765625,150.014,826.8400268554688,7850.41015625,150.014,835.1900024414062,7932.759765625,150.014,833.739990234375,7939.52978515625,150.014,10588454.9,8398784.964,4072.1171118164066,38971.41650390625
2009-02-18,150.014,212.705,14430.902,49780.0,788.4199829101562,7555.6298828125,150.014,789.1699829101562,7552.60009765625,150.014,826.8400268554688,7850.41015625,150.014,835.1900024414062,7932.759765625,150.014,10588454.9,8398784.964,4068.2471118164062,38987.0501953125
2009-02-19,150.014,212.705,14430.902,49780.0,778.9400024414062,7465.9501953125,150.014,788.4199829101562,7555.6298828125,150.014,789.1699829101562,7552.60009765625,150.014,826.8400268554688,7850.41015625,150.014,10588454.9,8398784.964,3925.8576123046873,37628.388984375
2009-02-20,150.014,212.705,14430.902,49780.0,770.0499877929688,7365.669921875,150.014,778.9400024414062,7465.9501953125,150.014,788.4199829101562,7555.6298828125,150.014,789.1699829101562,7552.60009765625,150.014,10588454.9,8398784.964,3881.0519384765626,37122.97640625
2009-02-23,150.014,212.705,14430.902,49780.0,743.3300170898438,7114.77978515625,150.014,770.0499877929688,7365.669921875,150.014,778.9400024414062,7465.9501953125,150.014,788.4199829101562,7555.6298828125,150.014,10588454.9,8398784.964,3746.3832861328124,35858.4901171875
2009-02-24,150.014,212.705,14430.902,49780.0,773.1400146484375,7350.93994140625,150.014,743.3300170898438,7114.77978515625,150.014,770.0499877929688,7365.669921875,150.014,778.9400024414062,7465.9501953125,150.014,10588454.9,8398784.964,3896.625673828125,37048.7373046875
2009-02-25,150.014,212.705,14430.902,49780.0,764.9000244140625,7270.89013671875,150.014,773.1400146484375,7350.93994140625,150.014,743.3300170898438,7114.77978515625,150.014,770.0499877929688,7365.669921875,150.014,10588454.9,8398784.964,3855.096123046875,36645.286289062504
2009-02-26,150.014,212.705,14430.902,49780.0,752.8300170898438,7182.080078125,150.014,764.9000244140625,7270.89013671875,150.014,773.1400146484375,7350.93994140625,150.014,743.3300170898438,7114.77978515625,150.014,10588454.9,8398784.964,3816.848186645508,36413.14599609375
2009-02-27,150.014,212.705,14430.902,49780.0,735.0900268554688,7062.93017578125,150.014,752.8300170898438,7182.080078125,150.014,764.9000244140625,7270.89013671875,150.014,773.1400146484375,7350.93994140625,150.014,10588454.9,8398784.964,3726.906436157227,35809.05599121094
2009-03-01,148.659,212.495,14430.902,49780.0,735.0900268554688,7062.93017578125,150.014,735.0900268554688,7062.93017578125,150.014,752.8300170898438,7182.080078125,150.014,764.9000244140625,7270.89013671875,149.56233333333333,10578001.1,7287605.51,3726.906436157227,35809.05599121094
2009-03-02,148.659,212.495,14430.902,49780.0,700.8200073242188,6763.2900390625,148.659,735.0900268554688,7062.93017578125,150.014,735.0900268554688,7062.93017578125,150.014,752.8300170898438,7182.080078125,149.11066666666667,10578001.1,7287605.51,3553.1574371337892,34289.88049804688
2009-03-03,148.659,212.495,14430.902,49780.0,696.3300170898438,6726.02001953125,148.659,700.8200073242188,6763.2900390625,148.659,735.0900268554688,7062.93017578125,150.014,735.0900268554688,7062.93017578125,148.659,10578001.1,7287605.51,3530.393186645508,34100.92149902344
2009-03-04,148.659,212.495,14430.902,49780.0,712.8699951171875,6875.83984375,148.659,696.3300170898438,6726.02001953125,148.659,700.8200073242188,6763.2900390625,148.659,735.0900268554688,7062.93017578125,148.659,10578001.1,7287605.51,3614.250875244141,34860.5080078125
2009-03-05,148.659,212.495,14430.902,49780.0,682.5499877929688,6594.43994140625,148.659,712.8699951171875,6875.83984375,148.659,696.3300170898438,6726.02001953125,148.659,700.8200073242188,6763.2900390625,148.659,10578001.1,7287605.51,3515.132437133789,33961.36569824219
2009-03-06,148.659,212.495,14430.902,49780.0,683.3800048828125,6626.93994140625,148.659,682.5499877929688,6594.43994140625,148.659,712.8699951171875,6875.83984375,148.659,696.3300170898438,6726.02001953125,148.659,10578001.1,7287605.51,3519.4070251464846,34128.74069824219
2009-03-09,148.659,212.495,14430.902,49780.0,676.530029296875,6547.0498046875,148.659,683.3800048828125,6626.93994140625,148.659,682.5499877929688,6594.43994140625,148.659,712.8699951171875,6875.83984375,148.659,10578001.1,7287605.51,3484.1296508789064,33717.30649414063
2009-03-10,148.659,212.495,14430.902,49780.0,719.5999755859375,6926.490234375,148.659,676.530029296875,6547.0498046875,148.659,683.3800048828125,6626.93994140625,148.659,682.5499877929688,6594.43994140625,148.659,10578001.1,7287605.51,3705.9398742675785,35671.424707031256
